guid,scientific_name,nature_of_id,made_date,type_status,publication_id,USE_EXISTING_ACCEPTED_ID,accepted_id_fg,use_pub_authors
KNWRObs:Herb:831,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:832,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:833,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:834,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:835,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:836,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:837,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:838,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:839,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:840,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:841,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:842,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:843,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:844,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:845,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:846,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:847,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:848,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:849,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:850,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:851,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:852,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:853,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:854,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:855,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:856,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:857,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:858,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:859,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:860,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:861,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:862,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:863,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:864,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:865,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:866,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
KNWRObs:Herb:867,Plantae,unknown,2020-02-04,referral,10009015,0,0,1
